ratio,variance,symmetry,noise,size,edge_density,contours,quiet_zone,blur,decodable,label
0.39156875,13555.975392363713,0.6035125,99.7630968332534,400,0.06839375,67,1.0,959.171,1,benign
0.38815,13429.586334683594,0.596225,100.57702734552801,400,0.0711125,85,1.0,1002.4611875,1,benign
0.37226875,13197.706036874375,0.583925,100.86488295741161,400,0.07136875,97,1.0,1014.7811,1,benign
0.37938125,13228.340992421518,0.6034375,101.89565194476835,400,0.0743625,101,1.0,1041.319775,1,benign
0.38079375,13330.4993849375,0.61475,100.94823445854563,400,0.0710125,72,1.0,1002.0409125,1,benign
0.38260625,13338.347220249847,0.5971875,100.85451954230598,400,0.07163125,91,1.0,1014.1018875,1,benign
0.377475,13314.7227435,0.5767125,100.23056187794573,400,0.07015,88,1.0,994.9492,1,benign
0.38919375,13411.332615997502,0.6187625,101.409042062715,400,0.07304375,81,1.0,1047.3273125,1,benign
0.39274375,13487.520550540003,0.61255,100.72508095222746,400,0.07170625,89,1.0,1005.188125,1,benign
0.393775,13534.238312540007,0.5956375,100.05769939726964,400,0.0703875,72,1.0,984.93345,1,benign
0.38233125,13320.034424598594,0.6165875,101.26782966840256,400,0.07223125,88,1.0,1008.1193875,1,benign
0.3757375,13249.367142126212,0.6293125,101.53424287527777,400,0.0712,90,1.0,970.2422,1,benign
0.37696875,13294.280022558594,0.59845,100.90392824091681,400,0.07034375,83,1.0,971.6158,1,benign
0.3731,13217.690888712346,0.5816,101.78170553144608,400,0.0715875,93,1.0,982.0531875,1,benign
0.3876875,13458.38819851,0.5900375,100.5279095582346,400,0.07046875,75,1.0,1006.2369,1,benign
0.38104375,13306.459020724378,0.6184375,101.80707389250678,400,0.07263125,92,1.0,1026.646075,1,benign
0.39708125,13518.264130819374,0.5914125,101.00443321922805,400,0.0722375,83,1.0,982.35015,1,benign
0.38250625,13197.522534519372,0.5711,102.96947791787548,400,0.07891875,104,1.0,1154.6522375,1,benign
0.3873375,13344.027428246096,0.589275,101.66210905181019,400,0.07383125,88,1.0,1005.2026875,1,benign
0.398975,13546.077107798594,0.592325,101.20398112771738,400,0.07254375,80,1.0,999.6642875,1,benign
0.39783125,13507.517939437499,0.5803375,101.27288016620133,400,0.07328125,78,1.0,1009.8769125,1,benign
0.40328125,13629.366396234374,0.5787875,100.50701455465975,400,0.0712625,70,1.0,984.1831375,1,benign
0.37549375,13219.188147654335,0.5916125,101.61886832393627,400,0.07238125,92,1.0,1005.9028125,1,benign
0.3862875,13408.753473006836,0.602875,100.92984080374534,400,0.07145625,76,1.0,1008.2861875,1,benign
0.37139375,13226.225713219379,0.6018625,100.60037975043862,400,0.06990625,86,1.0,979.104,1,benign
0.3788,13271.965146229648,0.5950375,101.6044958216632,400,0.07233125,91,1.0,1023.0134,1,benign
0.39176875,13478.744834131834,0.606425,100.55606439729573,400,0.071325,82,1.0,998.304825,1,benign
0.402075,13592.403272923395,0.6072875,100.71981610457796,400,0.0723375,82,1.0,1020.4660375,1,benign
0.37929375,13317.469819292344,0.5997625,100.84167838197844,400,0.07103125,87,1.0,957.4978875,1,benign
0.37575625,13277.042752920897,0.597725,100.95146223191072,400,0.07030625,82,1.0,943.8580375,1,benign
0.37518125,13189.759479399649,0.5957625,101.86352694181822,400,0.072625,95,1.0,948.3875,1,benign
0.40155,13612.841513169958,0.605575,100.33166114468938,400,0.07133125,85,1.0,999.6947875,1,benign
0.3816625,13319.517670037345,0.61595,101.1199896085306,400,0.0722,90,1.0,1020.0007,1,benign
0.38064375,13319.16986106,0.5880375,101.16098922320472,400,0.071525,87,1.0,992.78815,1,benign
0.3997,13601.679517454848,0.5765125,100.63079657368637,400,0.071225,70,1.0,1004.9207875,1,benign
0.39316875,13532.058386869378,0.591525,100.15037141483934,400,0.07039375,67,1.0,986.16855,1,benign
0.3952,13500.277263277498,0.5924125,101.14821188241056,400,0.07279375,86,1.0,1035.206425,1,benign
0.373825,13237.587580928708,0.6163125,101.05485861296997,400,0.0706875,85,1.0,993.79505,1,benign
0.393075,13495.845991859376,0.5887375,100.70627307950595,400,0.07105,78,1.0,983.004525,1,benign
0.3835375,13407.628469831092,0.585325,100.65254315936626,400,0.07011875,85,1.0,995.6330625,1,benign
0.3767,13254.265742250001,0.5879875,101.25443030102726,400,0.071775,91,1.0,994.7405875,1,benign
0.387925,13415.309979209964,0.5894,100.96219255267972,400,0.07145625,82,1.0,998.4591625,1,benign
0.39318125,13508.857952182463,0.603875,100.86268818527492,400,0.07124375,72,1.0,984.4466375,1,benign
0.3833875,13411.260275784332,0.57815,100.19658586524399,400,0.06976875,86,1.0,1000.570625,1,benign
0.38369375,13341.82591194496,0.6224,101.58382104172642,400,0.07216875,91,1.0,1005.221325,1,benign
0.39033125,13452.389166682777,0.5984,101.29946211040696,400,0.07205625,88,1.0,1016.921425,1,benign
0.38169375,13320.026286724647,0.5832,101.21541238792834,400,0.0719,91,1.0,982.6593125,1,benign
0.38540625,13399.898704165584,0.5864625,100.82524620966716,400,0.0710875,89,1.0,1007.21285,1,benign
0.3918375,13491.759820746094,0.584175,100.73555152004973,400,0.07103125,80,1.0,999.909525,1,benign
0.37686875,13240.362552621096,0.6076,101.11618449523486,400,0.0720375,93,1.0,978.149275,1,benign
0.374925,13251.00996870621,0.59625,101.2023634185788,400,0.0710875,87,1.0,999.3350125,1,benign
0.393075,13502.716074637345,0.6067375,100.8451310844621,400,0.0714875,77,1.0,1010.4545875,1,benign
0.3756125,13259.765790730899,0.6059875,100.78467305290938,400,0.07045,82,1.0,938.3917375,1,benign
0.3816875,13331.426544806092,0.6,101.05122436645684,400,0.0716625,93,1.0,1008.9467375,1,benign
0.397325,13550.116850127775,0.6031875,100.69792481656383,400,0.07145625,77,1.0,988.0250625,1,benign
0.39746875,13569.140230038085,0.5898625,100.77341804033672,400,0.07099375,75,1.0,999.3605875,1,benign
0.3932,13523.348489746833,0.583775,100.56098954922518,400,0.07065,77,1.0,992.2432375,1,benign
0.38280625,13324.6316465775,0.576425,100.77770885220599,400,0.07149375,86,1.0,964.9549125,1,benign
0.3738,13200.090051890276,0.590075,101.33752158058375,400,0.0717875,96,1.0,1004.2013,1,benign
0.38018125,13325.443905250002,0.5687125,100.48076435382964,400,0.07095625,84,1.0,1018.265075,1,benign
0.37563125,13248.607608560002,0.634275,101.46102930295743,400,0.0712375,86,1.0,985.1588875,1,benign
0.38513125,13397.728860124373,0.5729625,100.44674056302468,400,0.07065625,85,1.0,995.9822875,1,benign
0.39479375,13467.795546242147,0.6043375,101.47148696707167,400,0.073625,93,1.0,1052.7843375,1,benign
0.38309375,13361.699410433597,0.60085,101.23888479451706,400,0.0712125,87,1.0,973.732925,1,benign
0.3753625,13170.06195714996,0.6155875,101.97931364453818,400,0.0735625,101,1.0,981.1344625,1,benign
0.4025625,13648.360631046527,0.6062125,100.12391267238385,400,0.07045625,79,1.0,976.3763625,1,benign
0.4027625,13627.092280046836,0.6053375,100.58740815501567,400,0.0715125,83,1.0,993.572825,1,benign
0.3811625,13290.35363329996,0.598,101.58402405644131,400,0.07303125,100,1.0,1016.3400125,1,benign
0.37193125,13153.2951369375,0.6011875,100.97871578366698,400,0.071975,96,1.0,993.3736375,1,benign
0.39136875,13479.64708038734,0.6074875,100.89771208263889,400,0.07104375,77,1.0,990.35615,1,benign
0.3816,13274.336931110001,0.5939375,101.72602186850023,400,0.0734375,101,1.0,1037.31485,1,benign
0.39279375,13500.614185260585,0.5807,100.63656203490807,400,0.0709625,78,1.0,999.9585,1,benign
0.38445625,13348.059614461092,0.5933875,101.25365099753733,400,0.072425,87,1.0,1031.14025,1,benign
0.3804375,13363.012676219378,0.5839375,100.60954190386045,400,0.07006875,81,1.0,965.332075,1,benign
0.3819125,13373.352227397496,0.6023875,100.18082580326448,400,0.070425,85,1.0,1004.602125,1,benign
0.3751375,13238.953296712343,0.591675,101.28725706770508,400,0.07121875,89,1.0,966.87235,1,benign
0.375525,13234.24587248734,0.6111,101.73590178999294,400,0.07214375,96,1.0,1003.4379875,1,benign
0.3771375,13218.372703808594,0.6198625,101.84158768586387,400,0.0728125,93,1.0,990.6139875,1,benign
0.39211875,13452.125369265586,0.5815625,101.23364760277316,400,0.07234375,80,1.0,993.6259,1,benign
0.38334375,13293.924000577152,0.6008625,101.43075969447088,400,0.07353125,92,1.0,997.0879125,1,benign
0.39293125,13492.682655318595,0.5830625,100.72976132051215,400,0.0717375,83,1.0,998.906325,1,benign
0.378325,13290.87464475,0.6022125,101.19570776360774,400,0.07121875,83,1.0,969.7963625,1,benign
0.380275,13334.817460216838,0.5994875,100.88449858422176,400,0.07059375,83,1.0,946.9658875,1,benign
0.3949625,13508.825432973394,0.592025,101.06327080270198,400,0.07184375,79,1.0,985.3273125,1,benign
0.3758,13239.567331774375,0.581325,101.22628816750567,400,0.0714875,80,1.0,988.9379,1,benign
0.377775,13039.508660381092,0.5769875,104.17689362328157,400,0.082425,126,1.0,1176.6378125,1,benign
0.3807125,13317.95766310484,0.5967125,101.35869920826647,400,0.07130625,89,1.0,956.189475,1,benign
0.39865,13584.694913329846,0.58555,100.61745629913995,400,0.07083125,73,1.0,979.6144,0,benign
0.392375,13504.267626429337,0.5793,100.3436054522065,400,0.07065625,77,1.0,986.3719625,1,benign
0.37424375,13266.764412461092,0.606125,100.43939945307116,400,0.06975625,93,1.0,977.5783125,1,benign
0.3761875,13247.700784874374,0.5839,101.77712627783326,400,0.07215,96,1.0,989.2936375,1,benign
0.39075,13565.748644098594,0.6188125,99.1427530580266,400,0.067275,65,1.0,928.6338875,1,benign
0.39,13461.5703225684,0.607225,100.70465767877074,400,0.07108125,81,1.0,1002.63695,1,benign
0.38820625,13367.857352022464,0.59445,101.67818667983806,400,0.07411875,108,1.0,1053.866375,1,benign
0.39029375,13448.164034621836,0.58255,101.08105287312887,400,0.0721125,83,1.0,997.7303375,1,benign
0.39709375,13567.216161809998,0.579275,100.50446751361335,400,0.070875,72,1.0,969.0077125,1,benign
0.40545625,13638.431975282774,0.5848375,100.59131559719677,400,0.07225,66,1.0,1020.568625,1,benign
0.397025,13618.21983693746,0.6182125,99.51889574809084,400,0.06850625,60,1.0,968.917475,1,benign
0.37484375,13255.126933029647,0.5731625,101.07877785573288,400,0.07110625,92,1.0,983.00805,1,benign
0.38928125,13440.762019324648,0.5945625,100.93928824042885,400,0.07149375,78,1.0,995.705425,1,benign
0.38729375,13438.236672097499,0.5896625,100.24266384461114,400,0.0703625,75,1.0,969.5937,1,benign
0.37585,13245.193077183596,0.5965375,101.06344863719721,400,0.07135625,90,1.0,965.810825,1,benign
0.39248125,13548.623046394961,0.56735,99.78784789938102,400,0.06903125,78,1.0,939.5447375,1,benign
0.39275625,13308.708387398086,0.566725,103.49252309197702,400,0.08055625,95,1.0,1172.3425375,1,benign
0.394575,13491.57566294938,0.586775,101.0218786815152,400,0.07239375,80,1.0,1026.814425,1,benign
0.37245,13202.906877385585,0.5762875,101.2915763406098,400,0.07196875,95,1.0,1046.9868875,1,benign
0.37015,13105.324359731208,0.605925,101.85771594562202,400,0.0726625,100,1.0,949.7731125,1,benign
0.39280625,13458.909463209331,0.60865,101.34446670093766,400,0.072725,82,1.0,1013.7070625,1,benign
0.38595,13356.73024681,0.6081,101.03447885844464,400,0.07254375,86,1.0,1014.2673625,1,benign
0.38514375,13372.1418972109,0.5970125,100.52364537549114,400,0.07160625,82,1.0,1028.377925,1,benign
0.3820875,13269.907390030901,0.5876625,101.84602479001006,400,0.0735125,95,1.0,999.879925,1,benign
0.3948875,13548.4044970734,0.5760375,100.51025763975828,400,0.0704375,67,1.0,980.173675,1,benign
0.38335625,13349.520669991212,0.5984625,100.80763615042214,400,0.07170625,80,1.0,986.4084,1,benign
0.37171875,13174.947083871091,0.6263,101.27825888450202,400,0.072075,93,1.0,1031.0158875,1,benign
0.39831875,13517.691927084023,0.609225,101.19314388387724,400,0.07368125,92,1.0,1048.6947875,1,benign
